TEAM,YEAR,APG,RPG,TPG,SPG,ORPG,PPG
Lafayette,2023,15.5,32.5,11.6,5.76,8.35,62.4
Lamar,2023,13.2,36.1,14.2,6.42,11.7,67.9
Lehigh,2023,12.3,33.5,11.8,6.23,6.77,69.8
Liberty,2023,16.3,34.1,10.5,6.46,8.31,74.8
Lindenwood,2023,11.8,34.3,13.3,6.34,9,69.6
Lipscomb,2023,14.1,36.3,12.1,5.36,8.76,76.4
Little Rock,2023,14.8,35.7,13.5,6.74,10.9,75.4
Long Beach State,2023,15,40.6,14.1,7.42,13,76.5
Long Island University,2023,14.5,34.7,16.4,6.62,9.48,66.7
Longwood,2023,12.4,34.7,11.9,6.44,11.2,73.2
Louisiana NCAA,2023,14.5,36.8,12.2,7.15,11.2,78
Louisiana State,2023,12.3,35,12.3,6.76,11.4,67.6
Louisiana Tech,2023,12.4,34.7,13.7,7.88,10.9,72.2
Louisiana-Monroe,2023,12.6,35.1,12.7,6.88,10.8,67.4
Louisville,2023,9.34,32.2,14.9,4.53,9.19,63.9
Loyola (IL),2023,13.8,31,15,5.65,7.52,67.4
Loyola (MD),2023,13.9,31.4,13.5,7.48,9.12,67.3
Loyola Marymount,2023,11.8,36.1,12.8,5.45,10.6,75.3
Maine,2023,13.8,30.8,12.4,9.47,7.73,68.5
Manhattan,2023,12.3,31.7,13.5,7.57,9.13,67.2
Marist,2023,10.8,34.3,11.9,5.91,8.91,63.9
Marquette NCAA,2023,17.6,31.9,10.7,9.41,8.91,79.9
Marshall,2023,17.5,39,11.6,9,12.3,81.8
Maryland NCAA,2023,11.5,33.8,10.5,5.36,9.82,70.4
Maryland-Baltimore County,2023,14.3,34.2,10.1,5.63,9.28,74.3
Maryland-Eastern Shore,2023,13.5,31.9,14.6,11.1,9.84,69.7
Massachusetts,2023,13.6,38.3,14.3,6.81,13,69.8
Massachusetts-Lowell,2023,14.3,38.6,13.7,6.97,11.9,78
McNeese State,2023,11.3,35.2,14.7,7.24,12.4,69.2
Memphis NCAA,2023,15.7,35.9,13.5,8.68,10.3,79.8
Mercer,2023,12.8,34.7,11.7,5.61,10.4,68.7
Merrimack,2023,12.6,28.6,14.1,11.2,6.74,62.6
Miami (FL) NCAA,2023,14.9,34.6,11.3,7.34,10.3,79.4
Miami (OH),2023,13.8,31.9,13.6,6.09,8.97,73.7
Michigan,2023,12.4,36.6,10.3,4.7,8.79,73.6
Michigan State NCAA,2023,14.8,35.7,10.9,4.58,8.9,70.2
