TEAM,YEAR,APG,RPG,TPG,SPG,ORPG,PPG,MARCH MADNESS,FINAL FOUR,FINALS,WINNER
UC Santa Barbara,2019,13.5,0.343,11.1,4.97,11.8,73.4,0,0,0,0
UCLA,2019,14.3,0.355,14.2,5.88,11.5,78.2,0,0,0,0
UNC Asheville,2019,10.7,0.325,14.7,6.32,9.61,59.9,0,0,0,0
UNC Greensboro,2019,12.6,0.342,11.8,8.75,11.1,76.1,0,0,0,0
UNC Wilmington,2019,15,0.349,13.2,4.55,11.7,76.2,0,0,0,0
UT Arlington,2019,12.8,0.303,14.2,6.39,11.3,69.2,0,0,0,0
Utah,2019,14.2,0.37,13.2,4.65,10.2,75.6,0,0,0,0
Utah State NCAA,2019,17.1,0.355,12.8,6.14,10.8,78.7,1,0,0,0
Utah Valley,2019,13.8,0.382,13.9,5.74,9.09,77.1,0,0,0,0
UTEP,2019,10.6,0.321,16.1,4.66,9.83,64.1,0,0,0,0
UTSA,2019,13.1,0.344,12.6,6.66,10.1,77.5,0,0,0,0
Valparaiso,2019,13.1,0.316,13.3,6.12,8.91,66.8,0,0,0,0
Vanderbilt,2019,11.6,0.311,14.2,4.81,10.2,68.1,0,0,0,0
Vermont NCAA,2019,11.7,0.359,11.1,5.53,8.94,73.8,1,0,0,0
Villanova NCAA,2019,14,0.352,10.8,5.39,10.2,73.7,1,0,0,0
Virginia NCAA,2019,14.3,0.395,9,5.55,9,71.4,1,1,1,1
Virginia Commonwealth NCAA,2019,13.6,0.305,13.9,7.97,10.8,71,1,0,0,0
VMI,2019,13.8,0.359,12.2,6.78,8.75,76,0,0,0,0
Virginia Tech NCAA,2019,15.2,0.394,11.2,6.74,8.86,73.5,1,0,0,0
Wagner,2019,11.7,0.305,13.8,6.13,12.6,65.8,0,0,0,0
Wake Forest,2019,10.6,0.308,13.5,4.84,12.9,68.4,0,0,0,0
Washington NCAA,2019,11.6,0.35,13.3,8.97,9.28,69.8,1,0,0,0
Washington State,2019,14.9,0.364,13.8,5.28,8.63,74.8,0,0,0,0
Weber State,2019,11.6,0.364,11.6,5.42,6.67,79.3,0,0,0,0
West Virginia,2019,13.6,0.316,15.5,6.19,14.4,73.8,0,0,0,0
Western Carolina,2019,12.2,0.37,18,4.22,9.47,72,0,0,0,0
Western Illinois,2019,10.3,0.385,11.4,5.32,8.19,70.9,0,0,0,0
Western Kentucky,2019,12.3,0.327,13.7,6.91,9.94,71.4,0,0,0,0
Western Michigan,2019,11.7,0.315,15.3,4.59,10.8,70.2,0,0,0,0
Wichita State,2019,13.5,0.31,12.1,4.7,12.2,70.5,0,0,0,0
William & Mary,2019,17.1,0.346,12.6,5.1,8.1,74.9,0,0,0,0
Winthrop,2019,15.3,0.373,15.2,4.47,11,83.3,0,0,0,0
Wisconsin NCAA,2019,12.6,0.359,9.62,5.21,8.32,68.6,1,0,0,0
Wofford NCAA,2019,15.1,0.414,10.8,6.66,10.4,82.3,1,0,0,0
Wright State,2019,13.8,0.344,11.5,6.11,10.9,73.2,0,0,0,0
Wyoming,2019,10.3,0.344,14.1,5.5,5.22,65.8,0,0,0,0
Xavier,2019,14.8,0.331,12.9,5.43,10.6,72.2,0,0,0,0
Yale NCAA,2019,16.8,0.363,13.1,5.9,8.63,80.9,1,0,0,0
Youngstown State,2019,14,0.34,13.2,6.56,13.1,75.5,0,0,0,0
Abilene Christian NCAA,2021,17.7,36.1,13.6,9.72,11.3,75.7,1,0,0,0
Air Force,2021,12.3,23.2,14.4,7.08,4.4,58.7,0,0,0,0
Akron,2021,13.3,38.9,11.8,4.91,11.4,78.2,0,0,0,0
Alabama NCAA,2021,14.1,40.7,13.9,8.48,12.4,79.7,1,0,0,0
Alabama A&M,2021,10.9,38.5,15.3,5.47,10.7,63.3,0,0,0,0
Alabama State,2021,9.72,36.3,16.2,6.11,11.4,64.2,0,0,0,0
Albany (NY),2021,11.7,30,12.6,6.13,6.88,69.4,0,0,0,0
Alcorn State,2021,9.32,32,14.5,7.58,10.8,66.1,0,0,0,0
American,2021,12.8,32.6,15.8,7.3,7.8,69.1,0,0,0,0
Appalachian State NCAA,2021,11.9,36.3,11.8,7.93,11,70.3,0,0,0,0
Arizona,2021,15.5,38.3,11.9,5.85,11.7,75.4,0,0,0,0
Arizona State,2021,13.1,31.9,11,7.28,7.84,74.3,0,0,0,0
Arkansas NCAA,2021,14.6,39.7,12.9,7.84,11.8,81.4,1,0,0,0
Arkansas State,2021,14.5,37.2,13,6.58,11,72.5,0,0,0,0
Arkansas-Pine Bluff,2021,9.6,32.3,15.8,6.4,9.6,62,0,0,0,0
Army,2021,14.4,34.6,12.5,6.27,8.09,71.7,0,0,0,0
Auburn,2021,14.8,39.4,16.2,6.22,12.9,77.2,0,0,0,0
Austin Peay,2021,13.2,34.5,14.7,6.78,12.6,74.3,0,0,0,0
Ball State,2021,13.8,36.9,14.3,5.48,9.96,74.7,0,0,0,0
Baylor NCAA,2021,16.9,36,11.5,8.9,12.5,82.9,1,1,1,1
Bellarmine,2021,15.5,30.3,11.1,7.27,7.77,74.3,0,0,0,0
Belmont,2021,18.2,35.7,12,7.73,8.8,81.3,0,0,0,0
Binghamton,2021,11.1,35.7,13.9,5,10.6,65.4,0,0,0,0
Boise State,2021,13.5,35.5,11.7,6.54,9.04,75.8,0,0,0,0
Boston College,2021,11.5,33.3,13.7,7.2,9.15,71.3,0,0,0,0
Boston University,2021,10.6,35.3,12.5,5.39,10.1,69.4,0,0,0,0
Bowling Green State,2021,12.6,38.3,9.85,7.08,12.5,77.5,0,0,0,0
Bradley,2021,13.6,36.9,12.4,5.14,10.1,69.6,0,0,0,0
Brigham Young NCAA,2021,16.1,39.2,13.2,4.59,9.44,78.1,1,0,0,0
Brown,2021,0,0,0,0,0,0,0,0,0,0
Bryant,2021,15.3,39.8,15.1,6.91,10.2,83.8,0,0,0,0
Bucknell,2021,12,33.5,12.7,5.83,6.5,74.9,0,0,0,0
Buffalo,2021,15.9,43.8,13.9,7.96,14.8,81.4,0,0,0,0
Butler,2021,12.3,32.3,11.4,5.56,9.2,63.5,0,0,0,0
Cal Poly,2021,12.4,32.4,13.9,6.21,7.79,61.5,0,0,0,0
Cal State Bakersfield,2021,14,36.9,13,6.42,13.4,69.7,0,0,0,0
Cal State Fullerton,2021,13.6,32.9,12.8,6.69,8.75,77,0,0,0,0
Cal State Northridge,2021,13.3,33.2,11.9,6.36,9.45,72.1,0,0,0,0
California,2021,11.9,31.6,12.8,4.34,8.1,65.4,0,0,0,0
California Baptist,2021,17.5,37.1,13.5,5.04,9.61,79.1,0,0,0,0
Campbell,2021,14.3,28.4,12.1,6.11,6.11,71,0,0,0,0
Canisius,2021,12.7,34.6,12,5.62,10,70.4,0,0,0,0
Central Arkansas,2021,13.4,37,17.5,5.04,10.3,70.9,0,0,0,0
Central Connecticut State,2021,12.9,31.6,14.2,6.9,8.52,68.5,0,0,0,0
Central Florida,2021,12.4,33.3,14.8,6.83,9.39,67.2,0,0,0,0
Central Michigan,2021,10.7,36.2,13.3,8.17,10.5,76.8,0,0,0,0
Charleston Southern,2021,10.4,37,16.5,6.14,10.2,65.5,0,0,0,0
Charlotte,2021,11.3,31.1,13.4,5.44,6.88,63.5,0,0,0,0
Chattanooga,2021,12.3,33.9,11.1,6.85,8.35,72.6,0,0,0,0
Chicago State,2021,9.89,26,15.6,5.44,6,55.4,0,0,0,0
Cincinnati,2021,15,36.2,14.6,6.74,10.7,68.9,0,0,0,0
Clemson NCAA,2021,13.3,32.6,12.6,6.08,8.58,64.9,1,0,0,0
Cleveland State NCAA,2021,13.7,34.6,12.9,6.96,10.5,70.9,1,0,0,0
Coastal Carolina,2021,15.5,43.5,15.2,8.19,13.5,79.5,0,0,0,0
Colgate NCAA,2021,17.6,39.9,10.8,7.06,9.5,85.2,1,0,0,0
College of Charleston,2021,10.6,32.8,10.4,5.26,8.21,70.6,0,0,0,0
Colorado NCAA,2021,13.6,34.8,11.4,5.22,9.75,73.1,1,0,0,0
Colorado State,2021,14.6,34.5,13.5,5.86,7.57,74,0,0,0,0
Columbia,2021,0,0,0,0,0,0,0,0,0,0
Connecticut NCAA,2021,12.9,38.2,11.7,6.17,13.5,71.7,1,0,0,0
Coppin State,2021,13,36.2,15.8,8.55,7.45,72.8,0,0,0,0
Cornell,2021,0,0,0,0,0,0,0,0,0,0
Creighton NCAA,2021,15.6,35.7,11,6.97,8.35,76,1,0,0,0
Dartmouth,2021,0,0,0,0,0,0,0,0,0,0
Davidson,2021,15.1,34.5,10.7,5.14,8.95,71.8,0,0,0,0
Dayton,2021,13.5,33,14.4,4.5,6.71,69.8,0,0,0,0
Delaware,2021,12.5,35.1,14.3,4.6,8.73,67.5,0,0,0,0
Delaware State,2021,11.4,35.7,16.9,6.47,10.8,70.8,0,0,0,0
Denver,2021,11.9,30.3,14.8,5.71,7.43,69.8,0,0,0,0
DePaul,2021,11.4,37.7,15.8,6.84,12.1,65.8,0,0,0,0
Detroit Mercy,2021,14.3,32.7,11.5,6.82,8.95,76.5,0,0,0,0
Drake NCAA,2021,13.6,36.1,10.3,6.97,10.2,75.9,1,0,0,0
Drexel NCAA,2021,14.9,33.9,12.8,4.55,8.7,70.3,1,0,0,0
Duke,2021,16.3,35.5,12.8,8.21,11.2,76,0,0,0,0
Duquesne,2021,13.4,36.3,13.3,6.72,11.4,66.9,0,0,0,0
East Carolina,2021,15.9,34.4,12.6,6.16,9.95,66.8,0,0,0,0
East Tennessee State,2021,11.8,35.9,13.6,7.36,10.1,69.4,0,0,0,0
Eastern Illinois,2021,13.3,35,14.2,7.15,10.6,69.4,0,0,0,0
Eastern Kentucky,2021,15.9,35.6,12.9,10.3,10.6,81.8,0,0,0,0
Eastern Michigan,2021,11,33,12.3,8.83,9.39,70.4,0,0,0,0
Eastern Washington NCAA,2021,15.2,35.3,11.5,4.79,7.42,78.3,1,0,0,0
Elon,2021,10.8,34.3,11.5,5.68,8.74,65.7,0,0,0,0
Evansville,2021,11.6,26.8,11,4.88,5.96,64.8,0,0,0,0
Fairfield,2021,10,35.1,12.9,4.63,9.81,61.8,0,0,0,0
Fairleigh Dickinson,2021,12,33.9,14.2,7.58,10.2,75,0,0,0,0
Florida NCAA,2021,11.7,35.3,15,7.2,9.8,74.2,1,0,0,0
Florida A&M,2021,13.3,35.3,16.9,6.5,10.3,65.7,0,0,0,0
Florida Atlantic,2021,14.6,40.4,13.8,7.61,12.5,78.1,0,0,0,0
Florida Gulf Coast,2021,13.7,38.9,14.7,7.44,11.4,71.8,0,0,0,0
Florida International,2021,15,32.6,14.6,8.42,9.69,73.6,0,0,0,0
Florida State NCAA,2021,14.5,36.7,14.4,7.28,10.9,77.2,1,0,0,0
Fordham,2021,10.9,29.6,13.4,6.21,6.79,51.8,0,0,0,0
Fresno State,2021,10.4,35.5,14.3,6.58,10.7,66.3,0,0,0,0
Furman,2021,16.6,35.2,12.5,8.2,8.92,79.6,0,0,0,0
Gardner-Webb,2021,13,34.4,11.7,5.88,9.19,70.7,0,0,0,0
George Mason,2021,13,37.9,12.8,7.23,11.5,71.3,0,0,0,0
George Washington,2021,11.4,34.2,13.7,6.29,8,68.1,0,0,0,0
Georgetown NCAA,2021,12.8,39.8,15.2,5.88,11.5,71.4,1,0,0,0
Georgia,2021,15,37.4,16.7,8.46,12.2,77.5,0,0,0,0
Georgia Southern,2021,12.5,37.1,14.4,8.08,11.8,71.5,0,0,0,0
Georgia State,2021,16.8,37.5,11.6,7.14,11.4,80.3,0,0,0,0
Georgia Tech NCAA,2021,15.8,30.3,11.2,9.08,7.88,74.9,1,0,0,0
Gonzaga NCAA,2021,18.8,37.2,12,7.94,9.03,91,1,1,1,1
Grambling,2021,14,34.5,15.5,8.13,8.63,67.4,0,0,0,0
Grand Canyon NCAA,2021,16.3,39.9,12.8,4.83,10.6,75.5,1,0,0,0
Green Bay,2021,14.1,32.7,10.8,5.52,9.12,71.6,0,0,0,0
Hampton,2021,11.7,33.8,12.7,6.08,7.84,68.8,0,0,0,0
Hartford NCAA,2021,11,33.3,13.1,6.92,7.96,65.4,1,0,0,0
Harvard,2021,0,0,0,0,0,0,0,0,0,0
Hawaii,2021,11.7,35.8,13.9,5.67,10.3,71.6,0,0,0,0
High Point,2021,12.2,35.5,12.6,6.54,11.6,66.7,0,0,0,0
Hofstra,2021,12.7,35.5,12.1,6.61,10.5,73.2,0,0,0,0
Holy Cross,2021,12.1,32.7,12.9,6.88,9.38,70.6,0,0,0,0
Houston NCAA,2021,13.9,40.5,10.7,7.97,14.3,76.1,1,1,0,0
Houston Christian,2021,14.2,34,16.7,7.04,9.12,71,0,0,0,0
Howard,2021,14.8,35.4,14.4,5.2,8.2,72.6,0,0,0,0
Idaho,2021,12.1,29.9,16.4,4.95,6.91,61,0,0,0,0
Idaho State,2021,11.4,35.9,14.9,4.5,10.1,68.2,0,0,0,0
Illinois NCAA,2021,16.3,40,13,5.68,10.4,80.5,1,0,0,0
Illinois State,2021,13.8,35.2,13.8,6,8.24,72,0,0,0,0
Illinois-Chicago,2021,13.5,34.8,13.2,3.68,8.32,67.7,0,0,0,0
Incarnate Word,2021,12.2,31.1,14,5.36,7.77,68,0,0,0,0
Indiana,2021,13.9,34.6,11.9,5.74,8.96,69.7,0,0,0,0
Indiana State,2021,10.7,31.8,12.1,6.56,8.28,66.5,0,0,0,0
Iona NCAA,2021,13.6,36.8,15.6,6.83,10.8,71.3,1,0,0,0
Iowa NCAA,2021,19.2,39.7,9.48,5.58,11.2,83.7,1,0,0,0
Iowa State,2021,11.6,31.6,14.9,6.5,8.58,65.6,0,0,0,0
IUPUI,2021,13.3,33.8,13.9,6.89,9.33,71.2,0,0,0,0
Jackson State,2021,10.6,36.7,15.4,8.17,10.4,65.6,0,0,0,0
Jacksonville,2021,11.2,33.3,14.3,6.83,8.58,67.6,0,0,0,0
Jacksonville State,2021,14.2,38.8,13.3,5,11.1,74.3,0,0,0,0
James Madison,2021,13.8,37.4,12.2,7.45,11,78.1,0,0,0,0
Kansas NCAA,2021,13.8,37.5,12,6.9,11.1,73,1,0,0,0
Kansas City,2021,14.8,30.4,12.5,7.92,7.29,70.1,0,0,0,0
Kansas State,2021,13,32.9,14.9,5.55,10.2,61.8,0,0,0,0
Kennesaw State,2021,10.8,34,14.2,5.75,8.96,65.5,0,0,0,0
Kent State,2021,14.3,39.1,13.6,6.78,12.6,76.7,0,0,0,0
Kentucky,2021,12.5,38,14,6.28,12,70.4,0,0,0,0
La Salle,2021,12.7,33.2,14.4,7.44,9.36,68.1,0,0,0,0
Lafayette,2021,16.2,35,10.9,6.27,8.87,77.7,0,0,0,0
Lamar,2021,11.9,34.5,14.1,7.14,9.61,65.8,0,0,0,0
Lehigh,2021,12.7,34.7,13.1,6,9.13,68.3,0,0,0,0
Liberty NCAA,2021,15.8,33.5,9.97,4.66,6.97,74.4,1,0,0,0
Lipscomb,2021,13.5,34,12.1,6.19,7.7,71.2,0,0,0,0
Little Rock,2021,13.6,34.5,15.1,6.35,10,68.7,0,0,0,0
Long Beach State,2021,11.7,35,16,6.22,8.17,73.8,0,0,0,0
Long Island University,2021,16.3,39.2,14.4,8.44,13.3,74,0,0,0,0
Longwood,2021,10.7,32.9,13.1,6.1,9.41,66.2,0,0,0,0
Louisiana,2021,12.8,39.5,14.9,5.58,12.2,74.4,0,0,0,0
Louisiana State NCAA,2021,12.1,38.4,11.3,7.76,11.4,81.8,1,0,0,0
Louisiana Tech,2021,13.1,38.3,12.8,6.78,10.1,73.1,0,0,0,0
Louisiana-Monroe,2021,13.7,30.4,13,7.42,7.88,64.2,0,0,0,0
Louisville,2021,11.1,38.2,11.4,4.8,11.3,68,0,0,0,0
Loyola (IL) NCAA,2021,15.8,32.5,11.7,6.94,7.42,71,1,0,0,0
Loyola (MD),2021,13,37.6,14.4,6.82,11.2,72.1,0,0,0,0
Loyola Marymount,2021,12.7,35.1,16,4.68,9.77,69.5,0,0,0,0
Maine,2021,12,31.2,16.3,5.67,7.67,53.1,0,0,0,0
Manhattan,2021,11.8,36.2,14.4,7.7,12.7,63.4,0,0,0,0
Marist,2021,10.9,35,14.4,5.43,7.52,63.4,0,0,0,0
Marquette,2021,12.3,36.3,14.4,5.07,9.56,69.7,0,0,0,0
Marshall,2021,15.9,35.4,12,7.82,8.32,79.9,0,0,0,0
Maryland NCAA,2021,13.4,32.7,11.1,5,6.29,68.9,1,0,0,0
Maryland-Baltimore County,2021,10.9,36.5,12.9,5.1,8.75,69.5,0,0,0,0
Massachusetts,2021,14.9,34.5,12.1,7.33,9.07,76.7,0,0,0,0
Massachusetts-Lowell,2021,11.6,34.5,14.5,5,8.74,68.5,0,0,0,0
McNeese State,2021,18.5,37.3,15,7.17,10.6,80.3,0,0,0,0
Memphis,2021,16,40,15.6,8.86,12.1,72.4,0,0,0,0
Mercer,2021,16.5,36.3,12.9,6.9,8.69,76.7,0,0,0,0
Merrimack,2021,12,30.9,13.6,8,6.89,66.3,0,0,0,0
Miami (FL),2021,11.3,35,12.6,6.63,9.52,66.4,0,0,0,0
Miami (OH),2021,12.1,34.7,10.8,4.43,9.83,72.3,0,0,0,0
Michigan NCAA,2021,15.8,37.5,11.3,4.29,8.93,75.8,1,0,0,0
Michigan State NCAA,2021,15.9,37.4,13,4.46,10.9,69.4,0,0,0,0
Middle Tennessee,2021,9.96,33.4,15,7.13,9.7,62,0,0,0,0
Milwaukee,2021,13,35,11.1,6.09,8.95,75.5,0,0,0,0
Minnesota,2021,13.8,36.8,11.2,6.31,11.7,72.5,0,0,0,0
Mississippi,2021,12.2,36.6,14,7.54,12.1,68.8,0,0,0,0
Mississippi State,2021,13,39,15.1,6.27,12.1,69.3,0,0,0,0
Mississippi Valley State,2021,11,31.2,17.9,4.58,7,56.8,0,0,0,0
Missouri NCAA,2021,13.3,35.7,13.3,6.65,9.81,73.4,1,0,0,0
Missouri State,2021,13.5,37,12.7,4.67,7.83,73.4,0,0,0,0
Monmouth,2021,14,37.5,13.4,8.3,9.9,76,0,0,0,0
Montana,2021,12.7,33.1,13.3,4.89,7.64,70.8,0,0,0,0
Montana State,2021,11,33.8,12.5,5.61,8.61,74,0,0,0,0
Morehead State NCAA,2021,12.8,37.3,15.4,4.39,10.2,68.8,1,0,0,0
Morgan State,2021,14.8,39.7,15.6,7.86,13.5,79.8,0,0,0,0
Mount St. Mary's NCAA,2021,11.6,37.3,12.9,4.26,10.5,63.2,0,0,0,0
Murray State,2021,16.7,36.1,13.3,6.73,9.19,76.4,0,0,0,0
Navy,2021,12.3,35.1,12.4,8.17,11.3,71.5,0,0,0,0
NC State,2021,13.1,32.6,12.8,8.08,9.8,72.8,0,0,0,0
Nebraska,2021,13.7,36.3,14.1,7.15,8.89,70,0,0,0,0
Nevada,2021,14.4,35.7,12.7,5.58,8.19,73.7,0,0,0,0
Nevada-Las Vegas,2021,13.2,36,12.5,6.37,10.3,69.4,0,0,0,0
New Hampshire,2021,11.2,37.2,11,5.47,10.8,67.3,0,0,0,0
New Mexico,2021,12.6,38.1,14.9,5.73,13.2,65.3,0,0,0,0
New Mexico State,2021,12.4,36.1,12.2,5,11.8,71.1,0,0,0,0
New Orleans,2021,15.6,35.2,16.8,7.6,9.8,76,0,0,0,0
Niagara,2021,11.8,31.6,9.95,5.85,8.15,64.7,0,0,0,0
Nicholls State,2021,13.4,38.1,13,9.12,10.9,78.4,0,0,0,0
NJIT,2021,9.53,31.4,11.2,6.68,8.84,66.1,0,0,0,0
Norfolk State NCAA,2021,12.1,36.3,12.9,6.52,9.92,73.6,1,0,0,0
North Alabama,2021,11.3,39,13.8,5.88,11,73.2,0,0,0,0
North Carolina NCAA,2021,15.3,42.8,14.6,7.03,15.7,75.2,1,0,0,0
North Carolina A&T,2021,13.6,35,14,8.71,10.9,72.2,0,0,0,0
North Carolina Central,2021,12.1,32.7,14.6,7.29,9.29,67.3,0,0,0,0
North Dakota,2021,11.8,32.5,13.1,5.15,8.23,68.7,0,0,0,0
North Dakota State,2021,10.6,37,12.5,3.89,9.48,69.7,0,0,0,0
North Florida,2021,12.9,32.6,15,4.43,8.87,69.6,0,0,0,0
North Texas NCAA,2021,13.3,33.1,12.9,6.5,8.5,69.8,1,0,0,0
Northeastern,2021,12.3,32.8,13.5,6.26,6.63,67.2,0,0,0,0
Northern Arizona,2021,10.8,28.5,11.8,5.45,8.09,63.2,0,0,0,0
Northern Colorado,2021,11,34.5,14,4.32,7.95,70.5,0,0,0,0
Northern Illinois,2021,10.7,36,13.7,5.79,12.8,62.3,0,0,0,0
Northern Iowa,2021,13.2,35.6,13,6.44,9.16,69.5,0,0,0,0
Northern Kentucky,2021,11.8,34.9,12.5,6.44,12.2,71.4,0,0,0,0
Northwestern,2021,14.7,33.7,11.8,6.17,7.5,70.3,0,0,0,0
Northwestern State,2021,13,35.6,14.4,6.97,10.2,72.6,0,0,0,0
Notre Dame,2021,14.9,33.4,10.6,4.27,7.19,72.7,0,0,0,0
Oakland,2021,14.8,35.1,13,8.27,11.5,74.7,0,0,0,0
Ohio NCAA,2021,17.5,35.3,12,6.44,9.6,79.2,1,0,0,0
Ohio State NCAA,2021,13.1,36.6,10.6,4.52,9.74,77.2,1,0,0,0
Oklahoma NCAA,2021,13.3,35.7,11,7.15,9.59,74.5,1,0,0,0
Oklahoma State NCAA,2021,12.8,38.3,15.6,7.47,11.1,76.6,1,0,0,0
Old Dominion,2021,12.1,35.9,12.7,7.48,9.74,68.3,0,0,0,0
Omaha,2021,9.44,34.1,13.1,5.64,8.48,67.3,0,0,0,0
Oral Roberts NCAA,2021,12.8,34.7,11.4,6.59,8.17,81.1,1,0,0,0
Oregon NCAA,2021,13.4,31.9,11,7.17,9.07,72.3,1,0,0,0
Oregon State NCAA,2021,14.5,34.3,11.6,5.79,10.1,70.5,1,0,0,0
Pacific,2021,12.9,34.6,11.9,6.44,10.1,69.8,0,0,0,0
Penn State,2021,13.4,36.5,11.4,7.92,12.2,72.6,0,0,0,0
Pennsylvania,2021,0,0,0,0,0,0,0,0,0,0
Pepperdine,2021,16.3,35.1,13.1,6.48,8.07,76.9,0,0,0,0
Pittsburgh,2021,14.6,38.3,12.6,6.05,12.7,71.2,0,0,0,0
Portland,2021,11.9,28.6,13.9,6.29,6.57,69.5,0,0,0,0
Portland State,2021,11.2,37.8,13.9,8.27,13,68.7,0,0,0,0
Prairie View,2021,15.9,35.2,13.7,9.62,11.2,71.3,0,0,0,0
Presbyterian,2021,10.7,33.6,15.2,7,11.3,64.1,0,0,0,0
Princeton,2021,0,0,0,0,0,0,0,0,0,0
Providence,2021,13.5,35.7,11.8,5.65,10.6,69.8,0,0,0,0
Purdue NCAA,2021,14.3,37.6,12.5,5.07,11.1,71,1,0,0,0
Purdue-Fort Wayne,2021,14.3,31.3,17.1,6.78,7.7,75.1,0,0,0,0
Quinnipiac,2021,12.7,36,14.2,5.59,7.73,67.5,0,0,0,0
Radford,2021,11.1,37,14.9,6.07,11,67.6,0,0,0,0
Rhode Island,2021,12.1,38.5,14.1,6.56,10.6,71.4,0,0,0,0
Rice,2021,15.3,37,15.1,5.46,9.43,73.9,0,0,0,0
Richmond,2021,14.2,30.1,10.5,8.87,6.7,74.7,0,0,0,0
Rider,2021,12.3,33.3,12.7,5.09,8.96,67.5,0,0,0,0
Robert Morris,2021,15.7,34,13.4,6.53,10.9,72.3,0,0,0,0
Rutgers NCAA,2021,13.7,35.3,11.5,7.61,9.71,69.3,1,0,0,0
Sacramento State,2021,12.8,31.4,10.1,6.9,9.35,72.2,0,0,0,0
Sacred Heart,2021,13.4,35.9,12.9,4.89,10.8,70.3,0,0,0,0
Saint Francis (PA),2021,12.8,35.4,14.2,5.77,10.4,68.9,0,0,0,0
Saint Joseph's,2021,14.3,33.8,14.1,6,8.25,72.2,0,0,0,0
Saint Louis,2021,17.6,38.4,12.1,7.38,12.3,75,0,0,0,0
Saint Mary's (CA),2021,10.7,34.4,11.3,6.04,8.46,64.3,0,0,0,0
Saint Peter's,2021,11.7,37,14.8,8.04,11,63.2,0,0,0,0
Sam Houston State,2021,15.5,36.9,14.4,8.46,11.4,79.6,0,0,0,0
Samford,2021,14.9,39.7,16.2,6.79,11.7,76.8,0,0,0,0
San Diego,2021,13.2,33.5,13.2,6.71,8,66.2,0,0,0,0
San Diego State NCAA,2021,13.9,35.8,11.1,8.18,9.79,73.6,1,0,0,0
San Francisco,2021,11.9,33.2,11.7,7.16,9.04,71.4,0,0,0,0
San Jose State,2021,10.1,34.4,12.6,4.71,8.24,65.8,0,0,0,0
Santa Clara,2021,12,36.5,13,4.4,8.2,69.7,0,0,0,0
Seattle,2021,11.5,33.7,10.7,6.57,10.3,72.9,0,0,0,0
Seton Hall,2021,12.9,34.9,13,6.3,10.2,71.3,0,0,0,0
Siena,2021,12.6,34.9,12.9,5.53,8.94,67.6,0,0,0,0
South Alabama,2021,11.2,35.6,11.9,7.14,9.61,74.1,0,0,0,0
South Carolina,2021,13.3,36,14.9,8.38,12.8,72.5,0,0,0,0
South Carolina State,2021,9.89,31.3,17.3,5.89,9.72,61.2,0,0,0,0
South Carolina Upstate,2021,12,31.2,14.1,6.22,8.09,65.9,0,0,0,0
South Dakota,2021,14,34.8,10.7,4.56,7.2,76,0,0,0,0
South Dakota State,2021,14.2,35.7,12.3,5.52,7.74,80.4,0,0,0,0
South Florida,2021,11.4,37.8,14,5.27,12.5,65.9,0,0,0,0
Southeast Missouri State,2021,13.9,35.1,15.4,6.85,9.56,69,0,0,0,0
Southeastern Louisiana,2021,10,34.1,15.9,6.92,12.1,68.3,0,0,0,0
Southern,2021,14.1,36.3,16.3,8.16,9.68,69.8,0,0,0,0
Southern California NCAA,2021,13.9,38.8,12.4,4.76,11.6,74.9,1,0,0,0
Southern Illinois,2021,13.5,29.7,12,6.15,5.35,65.5,0,0,0,0
SIU Edwardsville,2021,13,32.8,15.9,5.88,8.69,65.7,0,0,0,0
Southern Methodist,2021,15.3,36.7,14,6.12,10.4,74.6,0,0,0,0
Southern Mississippi,2021,12.1,35.1,14.1,5.92,8.32,64.2,0,0,0,0
Southern Utah,2021,14.1,39.4,12.1,7,11,84.2,0,0,0,0
St. Bonaventure NCAA,2021,14.6,36.9,10.7,5.86,11.3,70,1,0,0,0
St. Francis (NY),2021,14.3,36.2,12.1,8.05,11.4,77.7,0,0,0,0
St. John's (NY),2021,16.3,36,12.6,9.11,11.2,79,0,0,0,0
Stanford,2021,12.3,33.5,14.9,7.07,7.74,69.7,0,0,0,0
Stephen F. Austin,2021,15.8,35.7,16.6,9.48,11.6,80.3,0,0,0,0
Stetson,2021,13.7,35.4,13.2,6.96,10.4,71.3,0,0,0,0
Stony Brook,2021,12.1,38,13.8,5.61,11.4,66.2,0,0,0,0
Syracuse NCAA,2021,15,35.4,11.3,8.11,10.2,74.8,1,0,0,0
Tarleton State,2021,14.7,31.9,11.6,10.4,8.5,73.3,0,0,0,0
TCU,2021,13,34.6,14.2,6.04,9.81,66.8,0,0,0,0
Temple,2021,13.4,36.3,13.3,4.19,9.25,65.8,0,0,0,0
Tennessee NCAA,2021,14.9,35.9,12.5,7.26,10.9,71.9,1,0,0,0
Tennessee State,2021,11.7,33.7,15.3,7.39,9.35,68.4,0,0,0,0
Tennessee Tech,2021,14.1,33.6,15.9,6.52,9.07,66.6,0,0,0,0
Tennessee-Martin,2021,12,32.3,14.3,7.17,10.8,65.5,0,0,0,0
Texas NCAA,2021,13.2,38.4,14.6,6.52,10.8,74.4,1,0,0,0
Texas A&M,2021,12.1,33.4,14.8,6.89,11,64.3,0,0,0,0
Texas A&M-Corpus Christi,2021,12.8,34,16.7,6.88,8.58,64.8,0,0,0,0
Texas Southern NCAA,2021,12.1,40.9,15.3,7,12,73.9,1,0,0,0
