TEAM,YEAR,APG,RPG,TPG,SPG,ORPG,PPG,MARCH MADNESS,FINAL FOUR,FINALS,WINNER
Ohio,2018,14.3,36.4,13.3,6.68,8.35,75.3,0,0,0,0
Ohio State NCAA,2018,14.7,36.6,11.7,6.15,9.82,76.2,1,0,0,0
Oklahoma NCAA,2018,15,38.4,13.4,6.5,10.6,84.9,1,0,0,0
Oklahoma State,2018,14.3,37.4,12.9,6.58,12.9,76.6,0,0,0,0
Old Dominion,2018,15.1,37.7,10.4,7.47,11.7,73.3,0,0,0,0
Omaha,2018,13.1,33.7,13.2,5.71,9.1,76.5,0,0,0,0
Oral Roberts,2018,14.2,38.3,12.8,5.44,13.9,72.9,0,0,0,0
Oregon,2018,15.4,35.1,12.1,6.89,10.3,78.3,0,0,0,0
Oregon State,2018,14.8,35,13.3,6.63,10.4,73.1,0,0,0,0
Pacific,2018,12.3,33.9,11.5,6.16,10.4,71.3,0,0,0,0
Penn State,2018,13.9,35.5,11.9,7.23,10.8,74.7,0,0,0,0
Pennsylvania NCAA,2018,15.4,37.5,11.8,5.88,8.58,75.9,1,0,0,0
Pepperdine,2018,14,33.7,11.8,4.84,10.1,71.3,0,0,0,0
Pittsburgh,2018,12.4,31.5,13.8,4.31,7.72,62,0,0,0,0
Portland,2018,12.1,31.7,12,5.16,6.41,69.4,0,0,0,0
Portland State,2018,16.1,38.4,12.7,9.79,14.5,85.2,0,0,0,0
Prairie View,2018,12.9,34.8,13.5,7.56,11.9,75.3,0,0,0,0
Presbyterian,2018,11.5,31.3,11.5,5.47,9.09,66.4,0,0,0,0
Princeton,2018,12.7,32.7,11.5,4.72,7.59,72.6,0,0,0,0
Providence NCAA,2018,13.9,35.6,12.3,6.8,10.5,73.6,1,0,0,0
Purdue NCAA,2018,16.2,35,10.8,5.7,8.62,80.4,1,0,0,0
Purdue-Fort Wayne,2018,14.7,35.1,11.8,8,9.58,82.3,0,0,0,0
Quinnipiac,2018,12.2,34.6,13.5,5.52,10,71.6,0,0,0,0
Radford NCAA,2018,12.3,34.6,12.3,6.28,11.5,67.3,1,0,0,0
Rhode Island NCAA,2018,15.3,34.4,10.6,7.32,11.4,76,1,0,0,0
Rice,2018,12.2,36.8,14.8,5.35,10.5,68.2,0,0,0,0
Richmond,2018,15.2,30.4,11.7,7.63,7.84,71.8,0,0,0,0
Rider,2018,14.3,39.2,13.3,7.53,13.2,81.9,0,0,0,0
Robert Morris,2018,11.6,35.6,14.8,7.76,11.9,68.8,0,0,0,0
Rutgers,2018,9.79,38.7,11.7,7.06,13.1,65.2,0,0,0,0
Sacramento State,2018,13.1,32,12,5.38,8.38,67.4,0,0,0,0
Sacred Heart,2018,12.9,39.9,14.8,4.81,12.1,68.7,0,0,0,0
Saint Francis (PA),2018,13.4,33.7,11.6,6.74,8.9,79,0,0,0,0
Saint Joseph's,2018,14,37.5,10,6.34,9.03,74.1,0,0,0,0
Saint Louis,2018,11.9,36,12.7,6,11.8,65.8,0,0,0,0
Saint Mary's (CA),2018,15.5,33.7,9.92,4.44,8.28,77,0,0,0,0
Saint Peter's,2018,11.8,32.8,13,6.59,9.13,65.2,0,0,0,0
Sam Houston State,2018,14.6,37.7,13.1,6.11,12.1,71.4,0,0,0,0
Samford,2018,16.6,30.4,13.6,7.19,8.25,77.6,0,0,0,0
San Diego,2018,14,32.9,13.1,5.47,7.44,70.1,0,0,0,0
San Diego State NCAA,2018,14.8,37.9,11.9,6.24,11.1,77.1,1,0,0,0
San Francisco,2018,13.5,35.7,11.9,5.38,10.1,68.8,0,0,0,0
San Jose State,2018,12.8,35.8,16.3,4.5,9.23,65.8,0,0,0,0
Santa Clara,2018,13,28.6,11.3,5.42,7.84,66.1,0,0,0,0
Savannah State,2018,15.8,38.2,14,9.41,13.2,86.1,0,0,0,0
Seattle,2018,13.6,38.2,14.2,4.91,10.8,76.1,0,0,0,0
Seton Hall NCAA,2018,15.5,38.3,12.7,6.18,12.2,79.4,1,0,0,0
Siena,2018,11.1,35.8,15.1,4.78,11.1,67.7,0,0,0,0
South Alabama,2018,12.4,36.4,15,5.34,9.41,69.6,0,0,0,0
South Carolina,2018,12.8,37.2,13.8,5.45,12.6,70.1,0,0,0,0
South Carolina State,2018,11,34.1,13.9,5.28,11.4,73.6,0,0,0,0
South Carolina Upstate,2018,14,33.2,11.6,6.09,10.5,75.8,0,0,0,0
South Dakota,2018,13.2,37.7,11.1,6.83,10.3,80.9,0,0,0,0
South Dakota State NCAA,2018,13.3,38.9,10.1,4.91,8.86,84.5,1,0,0,0
South Florida,2018,11.8,33.3,14,5.09,9.66,63.3,0,0,0,0
Southeast Missouri State,2018,13.6,32.4,12.5,5.74,8.81,76,0,0,0,0
Southeastern Louisiana,2018,14.6,34.1,13.8,6.62,10.6,71.7,0,0,0,0
Southern,2018,11.2,38.9,13.2,5.67,13.2,69.1,0,0,0,0
Southern California,2018,15.8,34.8,10.6,6.33,10.3,77.7,0,0,0,0
Southern Illinois,2018,14.1,32.7,12.7,7.52,8.52,69.9,0,0,0,0
SIU Edwardsville,2018,12.4,34.1,13.6,4.8,10.8,69.7,0,0,0,0
Southern Methodist,2018,14.4,33.6,11.6,7.39,11.1,69.5,0,0,0,0
